"rep","flow","fao_group","max_scheda"
"222","2","9",111
"222","2","A",1110
"222","1","1",1237
"222","1","2",1126
"222","1","3",1188
"222","1","4",1203
"222","1","5",1132
"222","1","6",1113
"222","1","7",1112
"222","1","8",1112
"222","1","9",1113
"222","1","A",1111
"226","2","1",111
"226","1","1",111
"230","2","1",1111
"230","2","2",111
"230","2","4",1111
"230","2","7",111
"230","1","1",1112
"230","1","2",1112
"230","1","3",1112
"230","1","4",1114
"230","1","5",111
"230","1","6",111
"230","1","7",111
"231","2","1",1144
"231","2","2",1115
"231","2","3",1112
"231","2","4",1113
"231","2","5",1113
"231","2","8",1112
"231","2","9",111
"231","2","A",1111
"231","1","1",1184
"231","1","2",1136
"231","1","3",1139
"231","1","4",1172
"231","1","5",1119
"231","1","6",1114
"231","1","7",111
"231","1","8",1111
"231","1","9",1113
"231","1","A",1111
"231","3","4",111
"231","3","8",111
"232","2","1",1177
"232","2","2",1115
"232","2","3",1132
"232","2","8",1111
"232","2","9",111
"232","2","A",1110
"232","1","1",1137
"232","1","2",1117
"232","1","3",1119
"232","1","4",1136
"232","1","5",1112
"232","1","6",111
"232","1","7",1111
"232","3","1",111
"233","2","1",1483
"233","2","2",1153
"233","2","3",1228
"233","2","4",1159
"233","2","5",1134
"233","2","6",1114
"233","2","7",1111
"233","2","8",1113
"233","2","9",1113
"233","2","A",1112
"233","1","1",1572
"233","1","2",1154
"233","1","3",1266
"233","1","4",1161
"233","1","5",1136
"233","1","6",1118
"233","1","7",1111
"233","1","8",1115
"233","1","9",1113
"233","1","A",1112
"234","2","1",2346
"234","2","2",1564
"234","2","3",1259
"234","2","4",1269
"234","2","5",1131
"234","2","6",1111
"234","2","7",113
"234","2","8",1111
"234","2","A",1117
"234","1","1",1517
"234","1","2",1135
"234","1","3",1179
"234","1","4",1116
"234","1","5",1115
"234","1","6",113
"234","1","7",112
"234","1","8",1113
"234","1","9",1111
"234","1","A",1110
"242","2","1",1272
"242","2","2",1147
"242","2","3",1179
"242","2","4",1141
"242","2","5",1125
"242","2","6",1111
"242","2","7",111
"242","2","8",1117
"242","2","9",1114
"242","2","A",1114
"242","1","1",1272
"242","1","2",1147
"242","1","3",1199
"242","1","4",1174
"242","1","5",1154
"242","1","6",1112
"242","1","7",1114
"242","1","8",1114
"242","1","9",1122
"242","1","A",1116
"242","3","1",1179
"242","3","2",1149
"242","3","3",1134
"242","3","4",1142
"242","3","5",1124
"242","3","6",1113
"242","3","7",111
"242","3","8",111
"242","3","9",1111
"246","2","1",1791
"246","2","2",1312
"246","2","3",1195
"246","2","4",1279
"246","2","5",1153
"246","2","6",1113
"246","2","7",1111
"246","2","8",1112
"246","2","9",1113
"246","2","A",1112
"246","1","1",1798
"246","1","2",1317
"246","1","3",1291
"246","1","4",1386
"246","1","5",1176
"246","1","6",1125
"246","1","7",1111
"246","1","8",1115
"246","1","9",1114
"246","1","A",1112
"250","2","1",3172
"250","2","2",1619
"250","2","3",1913
"250","2","4",1314
"250","2","5",1176
"250","2","6",1116
"250","2","7",112
"250","2","8",1116
"250","2","9",1118
"250","2","A",1111
"250","1","1",3183
"250","1","2",1622
"250","1","3",1918
"250","1","4",1313
"250","1","5",1176
"250","1","6",1116
"250","1","7",112
"250","1","8",1116
"250","1","9",1118
"250","1","A",1111
"254","2","1",1126
"254","2","2",1113
"254","2","3",1119
"254","2","4",111
"254","2","5",1111
"254","2","A",1110
"254","1","1",1179
"254","1","2",1126
"254","1","3",1156
"254","1","4",1143
"254","1","5",1121
"254","1","6",111
"254","1","7",1111
"254","1","8",111
"254","1","A",1110
"258","2","1",1203
"258","2","2",1121
"258","2","3",1244
"258","2","4",1122
"258","2","5",1112
"258","2","7",111
"258","2","8",1117
"258","2","9",1112
"258","2","A",1110
"258","1","1",1435
"258","1","2",1246
"258","1","3",1429
"258","1","4",1273
"258","1","5",1202
"258","1","6",1111
"258","1","7",111
"258","1","8",1114
"258","1","9",1115
"258","1","A",1110
"262","1","1",1228
"262","1","2",1144
"262","1","3",1202
"262","1","4",1193
"262","1","5",1154
"262","1","6",111
"266","2","1",1139
"266","2","2",1119
"266","2","3",1135
"266","2","4",111
"266","2","5",111
"266","2","A",1110
"266","1","1",1167
"266","1","2",1267
"266","1","3",1134
"266","1","4",1137
"266","1","5",1112
"266","1","6",113
"266","1","7",1112
"266","1","8",1111
"266","1","9",1113
"266","1","A",1110
"268","2","1",1196
"268","2","2",1126
"268","2","3",1124
"268","2","4",1128
"268","2","5",1113
"268","2","6",1111
"268","2","7",111
"268","2","8",111
"268","2","9",1113
"268","1","1",1326
"268","1","2",1139
"268","1","3",1169
"268","1","4",1163
"268","1","5",1138
"268","1","6",1113
"268","1","7",1111
"268","1","8",1114
"268","1","9",1113
"268","1","A",1111
"268","3","1",1135
"268","3","4",1114
"268","3","6",111
"268","3","7",111
"268","3","A",1110
"270","2","1",1211
"270","2","2",1148
"270","2","3",1179
"270","2","4",1145
"270","2","5",111
"270","2","6",1111
"270","2","7",111
"270","2","8",1111
"270","2","A",1110
"270","1","1",1219
"270","1","2",1131
"270","1","3",1185
"270","1","4",1167
"270","1","5",1114
"270","1","6",1112
"270","1","7",111
"270","1","8",1111
"270","1","9",111
"270","1","A",1110
"270","3","1",1113
"270","3","2",111
"270","3","3",1111
"270","3","4",1111
"270","3","6",111
"275","2","1",1112
"275","2","2",111
"275","2","4",1111
"275","2","5",111
"275","2","6",111
"275","1","1",1136
"275","1","2",1113
"275","1","3",1115
"275","1","4",1119
"275","1","5",1111
"275","1","6",1111
"275","1","8",111
"275","1","9",1111
"275","1","A",1110
"275","3","1",1111
"275","3","2",111
"275","3","4",1111
"275","3","5",111
"276","2","1",22023
"276","2","2",13849
"276","2","3",14226
"276","2","4",12814
"276","2","5",11516
"276","2","6",12101
"276","2","7",112
"276","2","8",1115
"276","2","9",1113
"276","2","A",1111
"276","1","1",22045
"276","1","2",13857
"276","1","3",14553
"276","1","4",12847
"276","1","5",11416
